market_id,interval,open_time,close_time,open_price,high_price,low_price,close_price,volume,quote_volume,trade_count,taker_buy_base_volume,taker_buy_quote_volume,inserted_at
297,5m,2025-05-01 01:20:00.000000 +00:00,2025-05-01 01:24:59.999000 +00:00,0.6879000000,0.6888000000,0.6870000000,0.6872000000,255687.3000000000,175892.4672200000,662,130492.4000000000,89796.0906800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:25:00.000000 +00:00,2025-05-01 01:29:59.999000 +00:00,0.6871000000,0.6872000000,0.6863000000,0.6863000000,70483.2000000000,48405.9863500000,360,27049.8000000000,18576.2456800000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:30:00.000000 +00:00,2025-05-01 01:34:59.999000 +00:00,0.6863000000,0.6875000000,0.6858000000,0.6875000000,172061.6000000000,118183.0718600000,392,116917.1000000000,80332.0318100000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:35:00.000000 +00:00,2025-05-01 01:39:59.999000 +00:00,0.6874000000,0.6888000000,0.6874000000,0.6874000000,295859.0000000000,203525.2060800000,569,179474.5000000000,123475.5442000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:40:00.000000 +00:00,2025-05-01 01:44:59.999000 +00:00,0.6874000000,0.6884000000,0.6868000000,0.6882000000,146171.8000000000,100523.0287100000,641,87480.0000000000,60158.5409300000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:45:00.000000 +00:00,2025-05-01 01:49:59.999000 +00:00,0.6881000000,0.6881000000,0.6867000000,0.6868000000,67027.5000000000,46054.0197900000,487,28820.2000000000,19804.7344700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:50:00.000000 +00:00,2025-05-01 01:54:59.999000 +00:00,0.6868000000,0.6885000000,0.6868000000,0.6885000000,124601.2000000000,85716.5367500000,496,88933.8000000000,61182.9953700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 01:55:00.000000 +00:00,2025-05-01 01:59:59.999000 +00:00,0.6886000000,0.6892000000,0.6883000000,0.6892000000,248845.4000000000,171410.8478400000,428,217191.0000000000,149613.0646200000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:00:00.000000 +00:00,2025-05-01 02:04:59.999000 +00:00,0.6891000000,0.6895000000,0.6888000000,0.6894000000,164730.4000000000,113540.5232000000,470,128834.4000000000,88802.3316700000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:05:00.000000 +00:00,2025-05-01 02:09:59.999000 +00:00,0.6893000000,0.6917000000,0.6891000000,0.6911000000,1007827.6000000000,696399.1658400000,1659,659976.6000000000,455905.3627000000,2026-01-06 08:50:45.802252 +00:00
297,5m,2025-05-01 02:10:00.000000 +00:00,2025-05-01 02:14:59.999000 +00:00,0.6911000000,0.6922000000,0.6900000000,0.6904000000,417160.6000000000,288467.8024100000,878,188545.4000000000,130389.2099100000,2026-01-06 08:50:45.802252 +00:00
